tractid,nta_name,totpop00,pop24_00,NHW00,A20_34y00,colleg00,mdfami00,mdrent00,field_10,totpop19,pop24_16,NHW16,A20_34y16,College16,mdfami19,mdrent19,field_18,NHW00_19,A20_34y00_,College00_,mdfami00_1,mdrent00_1,field_24,scores_raw,score_0.02,score_0.5,score_0.97,pr_uz0217,pr_bf_1ft,pr_bf_025m,pr_bf_05mi
"36047027600",Bensonhurst West,"3331","2304",2210.000000000000000,"795",428.000000000000000,"35294","700",,"3646",,,,,"53283","1381",,-0.398096221000000,-0.286202507000000,0.479269946000000,0.509690032000000,0.972857143000000,"0",-0.504882980000000,0.289543900000000,-0.442894950000000,-1.188551420000000,"0","0","0","0"
"36047027700",Stuyvesant Heights,"4136","2130",25.000000000000000,"898",239.000000000000000,"22359","522",,"4582",,,,,"50290","1359",,20.447263199999998,-0.399509458000000,2.705071144000000,1.249206136000000,1.603448276000000,"0",2.500779900000000,3.405259800000000,2.679214600000000,1.948518200000000,"1","0","1","1"
"36047027800",Bensonhurst West,"2623","1997",2046.000000000000000,"532",376.000000000000000,"31172","673",,"3118",,,,,"57202","1562",,-0.463018001000000,0.043781077000000,0.839103421000000,0.835044270000000,1.320950966000000,"0",0.456684900000000,0.916969400000000,0.177812200000000,-0.604875000000000,"0","0","0","0"
"36047027900",Stuyvesant Heights,"3791","2276",4.000000000000000,"830",187.000000000000000,"28375","615",,"3660",,,,,"64700","1460",,157.217281399999990,-0.133145039000000,5.142747144000000,1.280176211000000,1.373983740000000,,4.170924100000000,4.514338200000000,3.794869200000000,3.044096500000000,"1","1","1","1"
"36047028000",Bath Beach,"1608","1218",1077.000000000000000,"326",296.000000000000000,"51074","673",,"1829",,,,,"75677","1352",,-0.337970275000000,0.029547810000000,0.196976638000000,0.481712809000000,1.008915305000000,"0",-0.363470960000000,0.442988300000000,-0.331360270000000,-1.094837670000000,"0","0","0","0"
"36047028100",Stuyvesant Heights,"3656","1674",11.000000000000000,"834",84.000000000000000,"14063","403",,"4764",,,,,"31682","943",,73.300435080000000,-0.376017070000000,6.537183639000000,1.252862120000000,1.339950372000000,"0",3.771902000000000,4.348671500000000,3.616712000000000,2.877427300000000,"1","0","1","1"
"36047028200",Bath Beach,"2890","2173",2001.000000000000000,"592",540.000000000000000,"41945","837",,"3762",,,,,"67212","1469",,-0.487477155000000,-0.257487302000000,0.130973477000000,0.602384074000000,0.755077658000000,"0",-0.879867860000000,0.070390800000000,-0.755992400000000,-1.544137640000000,"0","0","0","0"
"36047028300",Stuyvesant Heights,"3624","1863",32.000000000000000,"694",85.000000000000000,"13919","441",,"3863",,,,,"29306","991",,32.743398910000003,-0.186260175000000,5.246848685000000,1.105467347000000,1.247165533000000,"0",3.390100600000000,3.935886800000000,3.199425800000000,2.428409400000000,"0","0","1","1"
"36047028400",Bensonhurst West,"3868","2652",2662.000000000000000,"860",728.000000000000000,"38452","718",,"3532",,,,,"61331","1421",,-0.253731686000000,-0.235181332000000,0.310245106000000,0.595001560000000,0.979108635000000,"0",-0.432218860000000,0.304930900000000,-0.432956670000000,-1.188716190000000,"0","0","0","0"
"36047028501",Bushwick South,"1443","1114",125.000000000000000,"366",63.000000000000000,"38438","675",,"454",,,,,"87778","1545",,3.602343612000000,-0.001071231000000,5.709985316000000,1.283625579000000,1.288888889000000,,3.019884900000000,3.433183900000000,2.680990400000000,1.901049300000000,"0","1","1","1"
"36047028502",Stuyvesant Heights,"2858","1715",9.000000000000000,"462",79.000000000000000,"15184","218",,"3205",,,,,"23899","548",,8.115479285999999,-0.280740321000000,0.489982030000000,0.573959431000000,1.513761468000000,,0.818973500000000,2.290734600000000,1.478827900000000,0.730295000000000,"0","0","1","1"
